19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
2  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
3  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
4  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
5  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
6  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
7  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
8  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
9  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
10  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
11  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
12  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
13  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
14  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
15  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
16  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
17  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
18  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
19  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
20  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
21  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
22  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
23  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
24  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
25  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
26  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
27  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
28  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
29  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
30  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
31  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
32  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
33  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
34  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
35  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
36  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
37  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
38  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
39  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
40  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
41  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
42  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
43  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
44  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
45  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
46  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
47  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
48  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
49  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
50  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
51  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
52  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
53  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
54  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
55  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
56  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
57  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
58  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
59  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
60  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
61  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
62  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
63  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
64  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
65  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
66  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
67  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
68  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
69  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
70  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
71  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
72  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
73  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
74  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
75  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
76  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
77  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
78  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
79  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
80  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
81  ,0.00000e+000  ,0.00000e+000  ,0.00000e+000  ,1.00000e-030
